index,short_hash,full_hash,date,author,type,pr_number,subject,files_changed,insertions,deletions
28,b6fc0252,b6fc02521c15fdd9ee4617f419af3f001e625509,2026-03-06,"Ahmed Amin Bejaoui",Commit,,"feat: enhance RoleRedirectPage with Lottie animation and update styles; add TypeScript definitions for dotlottie-wc component",4,371,47
29,81e6141,81e6141e0e6e070ef404bff2868cdce387da94d3,2026-03-06,"Ahmed Amin Bejaoui",Commit,,"Refactor: Remove unused UI components and styles",78,9,9675
30,9073536,9073536ed9c9c528061d2ff97e60790f858e1119,2026-03-07,"Ahmed Amin Bejaoui",Commit,,"feat: update authentication components with AuthShell and clerkAuthAppearance; refactor sign-in and sign-up pages fix: downgrade Python version in Dockerfile; update prometheus-fastapi-instrumentator dependency",7,388,175
31,97f0a01,97f0a0166ca08b39352c039fa1a2e52547a78f2d,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"feat: Implement RepoContext for onboarding and retrieval of repository context",17,1644,15
32,bfaa1e7,bfaa1e7d4d6c9e0dcfcb504155fcecebccb4c4a2,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"feat: Update environment configuration and enhance file type handling in ingestor",3,773,56
33,d50fa6f,d50fa6fd6a5b74b1acaa3c8518569e2f349074ac,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"feat: Implement repository profiles for knowledge base retrieval",14,1171,118
34,42e1d8c,42e1d8c881918320670c7cd590799402d3568b3d,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"feat: add repo overview generation and insights fetching",13,886,95
35,375e9fa,375e9faff60fa1adfb1b508287fca638e4770da6,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"Refactor code structure for improved readability and maintainability",2,2697,0
36,8eb3497,8eb34978401ff66c9594d85ea7eded6666f4a031,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"feat: add poetry configuration for in-project virtual environments",1,2,0
37,a6ec88c,a6ec88c8082f85446dfcc3791d14f39cd12e6634,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"feat: add developer role and permissions, enhance DeveloperDashboard with diff analysis functionality",4,492,41
38,47df9ea,47df9ea21132631dcb90b4519aa9564a788234f1,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"feat: enhance DeveloperDashboard with file import functionality and update analysis metadata",3,106,9
39,9489329,9489329e67ab35d5d896be250321924de2cb26f7,2026-03-09,"Ahmed Amin Bejaoui",Commit,,"feat: implement analysis fetching and enhance DeveloperDashboard with analysis data integration",4,583,199
40,32180a6,32180a6a390d677b05b785a07319273163b3e50a,2026-03-10,"Ahmed Amin Bejaoui",Commit,,"ay CI/CD ynajem ywalli yothher fl front",2,41,6
41,522e53e,522e53ebe92f7d21c4ee5ba37da42fa1958af58a,2026-03-10,"Ahmed Amin Bejaoui",Commit,,"sala7et el route ta3 el analyse : rapprtw diff",4,854,393
42,8e6de8d,8e6de8d974d12992f90ad00f1b65f76f853f56a3,2026-03-10,"Ahmed Amin Bejaoui",Commit,,"raddint les btns PDF , MarkDown , Re-Run , Ouvrir PR ye5dmou",3,375,22
43,46d4845,46d4845deff41b9f7e455cd91e3e3023cd0f41c9,2026-03-10,"Ahmed Amin Bejaoui",Commit,,"feat: add review decision functionality to analyses and update dashboard components",5,254,5
44,2b725ca,2b725ca46e1ad57b653eb28ace217535e6321f2a,2026-03-10,"Ahmed Amin Bejaoui",Commit,,"feat: enhance DeveloperDashboard to support folder imports and improve snapshot handling",2,349,33
45,d6472d1,d6472d1c9567f399284d6daf466a9de7eb1ce88e,2026-03-10,"Ahmed Amin Bejaoui",Commit,,"feat: update static analysis stage to include metadata and add test for workspace reconstruction from imported folder snapshot",3,70,1
46,498cacf,498cacfab9426d7566d98f3c53082d1c9ef8f089,2026-03-11,"Ahmed Amin Bejaoui",Commit,,"najem nzid repo bch naamllha analyse a partir ml compte github directe",2,301,2
47,54b778a,54b778aecc0fbf9e945b9bdcbecb9090b761ad4a,2026-03-11,"Ahmed Amin Bejaoui",Commit,,"feat: enhance GitHub integration and improve analysis input handling in DeveloperDashboard",3,392,49
48,ab93208,ab932085c46c38130a93677a6f32dd70406705f4,2026-03-11,"Ahmed Amin Bejaoui",Commit,,"feat: enhance DeveloperDashboard to support GitHub repository snapshots and improve error messaging for remote analysis",2,333,31
49,7fae00f,7fae00fe87d27eb08a3e3805edbb4ead6f8af822,2026-03-11,"Ahmed Amin Bejaoui",Commit,,"feat: implement backend timeout handling for auth sync and analysis creation, enhance analysis refresh logic in DeveloperDashboard",4,114,39
50,2abf304,2abf3044f0ca35cb89c2c59034006399ffb8b03d,2026-03-11,"Ahmed Amin Bejaoui",Commit,,"feat: add conftest.py for backend test configuration and path setup",1,11,0
51,d7e06d4,d7e06d48607cc2b171c651332407c59392d0f4e5,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: backfill admin role and permissions in database",1,96,0
52,62de117,62de11762b018a4a7af1322dfaea7ef8e4b8dd40,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: enhance role handling and normalization across authentication and dashboard APIs",10,39,21
53,6ca94dd,6ca94dda8ffc5a761e8b0561fe287471ffe272ef,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: implement JWT handling for local development in sign-in and sign-up pages",3,136,2
54,b79842f,b79842f650838cd8bf0908ef69f390f30701fc33,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: add admin email overrides for role elevation in authentication and dashboard",6,52,1
55,b5b1f18,b5b1f18102a79591fd1f5babf9decb483e2e80b7,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: update dev script to clean build artifacts before starting development server",1,1,1
56,3014e3e,3014e3eccfdf9f22da96a9cda3eb4ae05bcd1e7a,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"bug fix displaying the page",4,117,21
57,1326c3f,1326c3f3bd05ab4ca614391aee6c171779ffd95f,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: add script to reset Next.js cache before development and build",3,50,3
58,e6e289e,e6e289ec8ab2d77c0e9fd4738f998f2f567d35bb,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"refactor: simplify DashboardLayout and remove unused middleware functions",2,2,72
59,e3390e2,e3390e2d9130cbdb0aaf8b9208d888379f3b03f1,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: add new backend file for future development",1,0,0
60,ac7e325,ac7e325afcff0163a7c6975faf679fd85e328800,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: implement dynamic repository path  for Qdrant resolution and add tests",6,333,17
61,31f0c4b,31f0c4b8e064c57ec5aa1176743af5e3603ce7e6,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"refactor: enhance _discovery_roots to utilize _with_parents for improved path resolution",1,14,4
62,b9d3559,b9d3559059194e785a3e14a587a9f54096e940f3,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: add admin.py file with future annotations import",1,596,0
63,687b31e,687b31e2e92f784274ddb0db941119e37419e446,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: add admin routes for integrations, knowledge base, observability, and user management",18,1767,565
64,0d443eb,0d443eb39bb6d04f3531a593cb977d9e3d0e4c29,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: add KnowledgeBase component for managing indexed sources and retrieval operations",2,521,273
65,98a97d3,98a97d3eced1aa84549f3ccec18336456f4a9694,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"feat: add Policies & Rules component for managing policy configurations and repository rules",3,1135,511
66,2272427,22724279c2a4588d5a3afdbb74749e678c6d5226,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"fix: correct link text and reorder imports in UsersPage; update useMemo to useEffect in Observability component",2,5,5
67,a316fbe,a316fbe51db66ce527aaecd9a229bd6764e1f3f5,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"fix: replace useMemo with useEffect for loading integrations in Integrations component",1,2,3
68,a64185d,a64185d3dea023218d298ab739f1c5c4e5c07c25,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"refactor: replace loadRepos and loadPolicies functions with useCallback for better performance",2,10,14
69,f8af237,f8af237dfd7019a666e01f880d95c3379cd2b38d,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"Add live admin overview page and fix admin labels",3,157,3
70,018d352,018d352020a9b92692a54accbdaf445bc346af31,2026-03-12,"Ahmed Amin Bejaoui",PR Merge,1,"Merge pull request #1 from AhmedAmineBejaoui/codex/remplir-l-admin-avec-des-donnees-reelles",0,0,0
71,ade1009,ade10095b112ae54af07598b5b07326da18d3608,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"Add KB source insertion panel with drag-and-drop",4,335,11
72,de0d861,de0d861cc914f752cc4251b3d23adf71b9451872,2026-03-12,"Ahmed Amin Bejaoui",PR Merge,2,"Merge pull request #2 from AhmedAmineBejaoui/codex/remplir-l-admin-avec-des-donnees-reelles-fsiv9c",0,0,0
73,7c61639,7c6163948e8a73f6fdbd47ba1c9d286974fb182c,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"Fix admin users loading resilience and Clerk org profile routing",6,402,36
74,6e5e42a,6e5e42a8072ccb6a16db80c8a7e925c615a036e3,2026-03-12,"Ahmed Amin Bejaoui",PR Merge,3,"Merge pull request #3 from AhmedAmineBejaoui/codex/remplir-l-admin-avec-des-donnees-reelles-gswn0y",0,0,0
75,92c3e75,92c3e75d92cc80fd0f77a6b1bf34bf2fd33353d7,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"Allow org admins to access admin APIs",7,412,37
76,e79012e,e79012e64fd005dfd05c43f86b0629c1b3187487,2026-03-12,"Ahmed Amin Bejaoui",PR Merge,4,"Merge pull request #4 from AhmedAmineBejaoui/codex/remplir-l-admin-avec-des-donnees-reelles-bbt0yr",0,0,0
77,3e67c9c,3e67c9ce75a7b93941cb9509a9f47f02cc925275,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"Update OrganizationProfile routing from ""hash"" to ""path"" in OrganizationWorkspace component",1,1,1
78,9856d6f,9856d6fab465920412628f5e54aee687fc5b55d0,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"Enhance admin access control by integrating RBAC user roles in _ensure_admin_access function",1,28,1
79,595a13d,595a13da5527b934c44d4fe6f897b95701739097,2026-03-12,"Ahmed Amin Bejaoui",Commit,,"Refactor organization pages: restore AdminOrganizationPage and OrganizationPage components",3,4,3
80,0e83694,0e83694fe82ac43c8dafe7702d016d48f4ff9b96,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Enhance admin access control by adding email checks and syncing RBAC profiles with Clerk session",4,58,6
81,f08ac41,f08ac416a76ad73acf0a6fbfca0dfb32919ceb2d,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Add configuration files for Oracle Cloud deployment including Docker setup, Caddyfile, and environment variables",6,550,0
82,d3d583a,d3d583aedd1341380785b6658fab0425b186dd65,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Update deployment configurations and enhance documentation for cloud setup",5,239,387
83,c95713a,c95713a8d1ba9f1525803dc3cf3391c365e642fe,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Update deployment guides: clarify Fly.io usage and add Git installation step for Oracle Cloud setup",2,8,6
84,fa56114,fa5611414a63ee84dda0f9f6a7261cc4ca69de45,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Add foundational RAG document ingest and search APIs",10,714,39
85,e48e3eb,e48e3eb8950adc15d6fee7b59c227ae736111707,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Merge branch 'main' into codex/remplir-l-admin-avec-des-donnees-reelles-pcqdnb",0,0,0
86,fa35d08,fa35d08d0c9dd006fa823007c9965c8e67165a67,2026-03-13,"Ahmed Amin Bejaoui",PR Merge,5,"Merge pull request #5 from AhmedAmineBejaoui/codex/remplir-l-admin-avec-des-donnees-reelles-pcqdnb",0,0,0
87,381ac3f,381ac3fc4e6565445693acda184ef2def3278efc,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Enhance error handling in KnowledgeBase component with structured API error responses",1,56,8
88,8f01c33,8f01c330e28ecb6c2674126eba2827ced3177882,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Add pdf-parse dependency for PDF processing capabilities",2,218,0
89,dde0c42,dde0c429af77c0cd3e989fc24e60c67f08617f7a,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Enhance knowledge base document ingestion and retrieval with improved data handling and normalization functions",2,89,8
90,aa88e71,aa88e717ca8e58a9c2af65da8c9639c1470d78f5,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Implement PDF import functionality with error handling and text extraction",3,242,0
91,9edf10f,9edf10f7856d7c2cf79b70c46615183c2a8a1cb3,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Refactor PDF import error handling and improve response structure",1,98,68
92,af72474,af72474ffedd6d1394e8d6b5acd9cc8c2945bdf8,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Refactor SignIn and SignUp pages by removing unused JWT handling logic",2,2,38
93,24634d1,24634d1ac78abad5a8c6dff7a94109967ff7509d,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"Add architecture overview and ingestion pipeline details to README",1,181,1
94,2326cf3,2326cf38ceca27227f367cca41e669ba08b03381,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Enhance knowledge base retrieval with new repo context chunks and indexing",13,1204,20
95,51a6a9e,51a6a9e63debf28af72ed6b46d8a78405aec4810,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"refactor: Simplify retrieval logic and enhance error handling in RepoContextRetriever",1,244,303
96,613891c,613891c437b914f29a869fc9364cf31da971a852,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Add route_hint to ContextByQueryRequest and improve document retrieval logic",2,37,39
97,af88b7b,af88b7b171d9fa50751ec52225cccb3c7b307ecf,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Add document_id and title fields to retrieval models and update related logic",5,16,3
98,8c79bb5,8c79bb51307b869b87db8bac58c2e0f24e7cb459,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Normalize source type and tags in document ingestion logic",1,30,10
99,f26087a,f26087a06fe5d588306caeef37337634445daa24,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"test: Add unit tests for context packing, exact retrieval, dual write ingestion, lexical retrieval, query routing, re-ranking, and semantic retrieval",7,484,0
100,21f3f6f,21f3f6f0f410412bea1ced65976567b8cc5c174a,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Add hybrid retrieval configuration options to .env and update README with explanations",2,27,0
101,a86ad8d,a86ad8d66d7ebcad81876ad520ae558411b8ce6e,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Dynamically import PDFParse in extractPdfText function to optimize PDF processing",2,3,1
102,502e5af,502e5aff544a653c0c1ffb348a7b5818bd8d22e1,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Update PDF parsing to use Node/CJS loading for compatibility with pdfjs-dist",1,9,1
103,2b84fa0,2b84fa07b1f8f9f15088b04c28c2965da648731f,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Enhance PDF parsing by configuring worker path for pdf-parse and improving type definitions",1,18,5
104,dc5f415,dc5f41564a44239ac272951e08773090b1166f13,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Update PDF parsing to disable worker for improved server route stability and simplify worker configuration",1,6,14
105,e9e1e5e,e9e1e5e44c37740fe5a830356e076116a037e287,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Configure PDF worker dynamically for improved stability and filesystem path handling",1,24,6
106,da4bd44,da4bd44b1bf437dd903ab7ed3f0e5b45b184ffe2,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Implement PDF extraction script and refactor PDF text extraction process",2,127,34
107,67c0c13,67c0c13ceff381493b668eae483d304de72f5303,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Enhance PDF import handling by adding type guard for uploaded files and improving error logging",2,18,4
108,663b307,663b3077da96ab22b4f9326895cd2046e3f6d7a3,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Update database insert statement to include 'text' field for kb_chunks",1,3,2
109,8af9872,8af9872be4c698e99ead4e1bebab84a20cbcbc09,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Enhance QdrantClient with error handling and disable mechanism on failures; add unit tests for robustness",3,192,87
110,a444ea5,a444ea5e3fe1aefc8699d3e913f15b7f9d298046,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Add reindex and delete endpoints for knowledge base; update API paths for consistency",3,105,3
111,3265d5b,3265d5b510711fa1124c45a95c149c2b899dbc0b,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Implement global document retrieval in Lexical and Semantic retrievers; update KBRepo for global search functionality",9,267,55
112,05c75e7,05c75e7d6f3cc5daefd0ac3283fb194634b3738c,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Add grounded review service for LLM-based code analysis; include configuration options and unit tests",6,425,14
113,1260547,1260547f34cdcf0bdb01e7b01a0f20c8f239e22c,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Update API fetch limits and normalize insights payload for improved performance and consistency",3,62,26
114,f45ba22,f45ba22270b97ef3ef939504e6ae85c97c09bd3b,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Add findings count and severity metrics to analysis responses and dashboard components",7,185,82
115,530b622,530b6223bb03ddb360a39b793653021024bfe9f7,2026-03-13,"Ahmed Amin Bejaoui",Commit,,"feat: Enhance dashboard analyses and insights with caching and size normalization",6,166,61
116,b68ed91,b68ed91d8be3715c4ad2df257e44c579e64fbdcf,2026-03-14,"Ahmed Amin Bejaoui",Commit,,"feat: Implement Review Intelligence Service with Change Explainer, PR Summary, Risk Detector, and Test Generator",19,1468,3
117,3547d3d,3547d3d582ee15df2cc029eab7840538a941b10f,2026-03-15,"Ahmed Amin Bejaoui",Commit,,"feat(dashboard): add Clerk asset synchronization and runtime configuration",12,8009,1607
118,15e2ba6,15e2ba6a222749866272d0266f8f9418e7e0e24e,2026-03-15,"Ahmed Amin Bejaoui",Commit,,"feat: Update environment configuration for ngrok integration and enhance backend URL handling",13,8059,1611
119,c86bfdc,c86bfdceab08addb60b7852a84eeacfcd009fe89,2026-03-15,"Ahmed Amin Bejaoui",Commit,,"Merge branch 'main' of https://github.com/AhmedAmineBejaoui/ai-code-review-platform",0,0,0
120,48460e1,48460e1a1686df1cecf898501505621fc366fe59,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(rbac): implement nested transactions for user upsert to handle email conflicts gracefully",2,57,39
121,a2befd5,a2befd56fc58b49a9ba78224db63988b72faa5ed,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"docs: update README with Redis setup instructions and worker restart commands",1,14,1
122,e352c9a,e352c9aa13f66d0b2cd1b5d9b0e43d38abc10815,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"IMPORTANT IMPORTANT 1",3,383,1
123,27a5e48,27a5e48e699982832d7a031d0018d0003b7dac28,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(clean-code): integrate clean code analysis with new settings and language profiles",11,245,10
124,2c31fa0,2c31fa058c2450d26add2279957bf83df74d7042,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(clean-code): add duplication detection and generic symbol extraction functionality",3,464,0
125,354ca20,354ca202630d07b74634af06bfc24f0e8f600275,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(clean-code): enhance name validation logic and add language detection functions",1,20,5
126,a71f81f,a71f81fc378ee5c8d18de674c46c2c80b253c5fd,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(clean-code): implement Clean Code analysis engine and related rules",4,954,0
127,aa533c4,aa533c4d86db56fea51acc16638e913d16e003b7,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(clean-code): add function to extract and format Clean Code findings in review output",2,98,41
128,e4666c6,e4666c60217de189b628a5ae2915b491a16f80dc,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(tests): add unit tests for Clean Code Rule Engine and Analyzer",2,173,0
129,6cf6097,6cf609766332ff90ade95eb090d79f4886f3c954,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(tests): add unit tests for analysis pipeline with fallback mechanisms",1,252,0
130,b810bc6,b810bc6e16c1dae2b57fc66c97aa0abee66dc03f,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(tests): add unit tests for GitHub PR review script to include Clean Code findings in markdown output",2,168,0
131,f26e524,f26e52445a76d05282747d9b0a28081c571ed0d5,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(clean-code): enhance analysis engine to aggregate findings from both Python and generic file analyses",3,21,11
132,427bcc1,427bcc1d93845582c582c1221142d1ff9b1c8e03,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(docker): parameterize MinIO ports in docker-compose for flexibility",2,14,11
133,975bdf0,975bdf029c4de83b7ff32d5db3ebef0f621ec697,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(docker): parameterize Grafana port in docker-compose for flexibility",2,7,6
134,3f4c451,3f4c451cb344e0d1ac11291ee55a9a121d46e688,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(knowledge-base): add document ingestion functionality and update source type hints",1,107,15
135,e1cd3b7,e1cd3b7ebb4fe4294bfa4974e7e55cede7d4c5fb,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(qdrant): implement point ID generation functions and update ingestor to use them",5,89,6
136,bdcbb05,bdcbb05231558bed26a5618f275113b0aa04e43a,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(qdrant): remove Qdrant client implementation and related functionality",1,0,262
137,cce28ee,cce28ee563b86143535304efed06fbd5644fe8fb,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(qdrant): implement Qdrant client with async functionality and various methods for point management",1,281,0
138,0c63099,0c6309968b6be1479c8ba10874782ef933b1d94b,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"feat(dashboard): enhance analysis details with review output and context references",4,484,170
139,47872a7,47872a7be149e11dba2ae124fd4345e773963d31,2026-03-16,"Ahmed Amin Bejaoui",Commit,,"fix(RagCitations): replace apostrophes with HTML entities for proper rendering",1,4,4
140,8435850,84358500bce60de6b1021374e3961d90bf68f207,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(langchain): implement LangChain client and embedding service with output parsing capabilities",8,341,64
141,0a5d079,0a5d079c85006a164dac99693a5335891e36516b,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(review-intelligence): add ReviewGenerationEngine interface and implementations for summary and findings generation",2,281,1
